title,year,card_subtitle,rating,id
万物生灵：2024圣诞特别集,2024,2024 / 英国 / 剧情 / 安迪·海伊 / 尼古拉斯·瑞夫,"{'count': 3189, 'max': 10, 'star_count': 5.0, 'value': 9.5}",36787730
坂本龙一：最后的日子‎,2024,2024 / 日本 / 纪录片 / NHK / 坂本龙一,"{'count': 2444, 'max': 10, 'star_count': 5.0, 'value': 9.5}",36832842
皇后乐队蒙特利尔现场演唱会,2024,2024 / 英国 美国 / 纪录片 音乐 / 索尔·斯威默 / 弗雷迪·默丘里 约翰·迪肯,"{'count': 11963, 'max': 10, 'star_count': 4.5, 'value': 9.4}",36888563
中东大宝荐2：迦南孤儿,2024,2024 / 中国大陆 / 纪录片 真人秀 / 张竣 / 张竣,"{'count': 6105, 'max': 10, 'star_count': 4.5, 'value': 9.3}",36742797
ANOTHER SIDE …… JOEY · MY SECRET · LIVE,2024,2024 / 中国香港 / 纪录片 音乐 真人秀 / 彭秀慧 / 容祖儿,"{'count': 341, 'max': 10, 'star_count': 4.5, 'value': 9.3}",36713577
黑箱日记,2024,2024 / 美国 英国 日本 / 纪录片 / 伊藤诗织 / 伊藤诗织,"{'count': 10265, 'max': 10, 'star_count': 4.5, 'value': 9.2}",36675987
进击的巨人 总集篇 最后的进击,2024,2024 / 日本 / 动作 动画 奇幻 / 林祐一郎 / 梶裕贵 石川由依,"{'count': 2697, 'max': 10, 'star_count': 4.5, 'value': 9.2}",37014543
流行乐最传奇一夜,2024,2024 / 美国 / 纪录片 音乐 / 阮包 / 莱昂纳尔·里奇 哈里艾特·斯特恩伯格,"{'count': 3848, 'max': 10, 'star_count': 4.5, 'value': 9.2}",36720554
Lady Gaga：神彩巡回演唱会,2024,2024 / 美国 / 音乐 真人秀 / Lady Gaga / Lady Gaga,"{'count': 2576, 'max': 10, 'star_count': 4.5, 'value': 9.2}",36886162
泳者之心,2024,2024 / 美国 / 剧情 传记 运动 / 乔阿吉姆·罗恩尼 / 黛西·雷德利 蒂尔达·格哈姆-哈维,"{'count': 157124, 'max': 10, 'star_count': 4.5, 'value': 9.0}",26656728
宇多田光SCIENCE FICTION 2024巡回演唱会,2024,2024 / 日本 / 纪录片 音乐 歌舞 / 宇多田光,"{'count': 151, 'max': 10, 'star_count': 4.5, 'value': 9.0}",37113496
青春王室：幕后花絮,2024,2024 / 瑞典 / 纪录片 / Jens von Reis / 欧玛·鲁德伯格 丽莎·安布约恩,"{'count': 218, 'max': 10, 'star_count': 4.5, 'value': 9.0}",36778967
最后生还者第二部制作特辑,2024,2024 / 美国 / 纪录片 / Naughty Dog PlayStation / 艾什莉·约翰逊 特洛伊·贝克,"{'count': 312, 'max': 10, 'star_count': 4.5, 'value': 9.0}",36731273
好东西,2024,2024 / 中国大陆 / 剧情 爱情 / 邵艺辉 / 宋佳 钟楚曦,"{'count': 1014320, 'max': 10, 'star_count': 4.5, 'value': 8.9}",36154853
奥利维亚·罗德里戈：GUTS 世界巡演全纪录,2024,2024 / 美国 / 纪录片 音乐 / 詹姆斯·B·梅里曼 / 奥利维亚·罗德里戈,"{'count': 844, 'max': 10, 'star_count': 4.5, 'value': 8.9}",37061366
动机与提示,2024,2024 / 英国 / 剧情 戏曲 / 萨姆·门德斯 / 塔彭丝·米德尔顿 强尼·弗林,"{'count': 1019, 'max': 10, 'star_count': 4.5, 'value': 8.9}",36782674
拉里·迪恩：大聪明,2024,2024 / 英国 / 喜剧 / Mason Stade / 拉里·迪恩,"{'count': 160, 'max': 10, 'star_count': 4.5, 'value': 8.9}",37165729
周六夜现场：瑞恩·高斯林/Chris Stapleton,2024,2024 / 美国 / 喜剧 音乐 脱口秀 / 瑞恩·高斯林 克里斯·斯台普顿,"{'count': 158, 'max': 10, 'star_count': 4.5, 'value': 8.9}",36811224
奶奶,2024,2024 / 罗马尼亚 / 喜剧 短片 / 艾达·杜米特鲁 安娜·伊内尼 / 艾达·杜米特鲁 布林杜莎·安吉尔,"{'count': 252, 'max': 10, 'star_count': 4.5, 'value': 8.9}",36912437
姥姥的外孙,2024,2024 / 泰国 / 剧情 / 帕特·波尼蒂帕特 / 普提蓬·阿萨拉塔纳功 乌萨·萨梅坎姆,"{'count': 288307, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36328210
出走的决心,2024,2024 / 中国大陆 / 剧情 家庭 / 尹丽川  / 咏梅 姜武,"{'count': 339361, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36587974
流浪地球2：再次冒险,2024,2024 / 中国大陆 / 纪录片 / 郭思文 / 郭帆 刘寅,"{'count': 3549, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36233343
万尼亚,2024,2024 / 英国 / 剧情 / 山姆·耶茨 / 安德鲁·斯科特,"{'count': 1401, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36642389
假面骑士歌查德 Ver. 罗密欧与茱丽叶【完整版】,2024,2024 / 日本 / 剧情 爱情 / 山口恭平 / 本岛纯政 松本丽世,"{'count': 139, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36862879
摔角狂热 40,2024,2024 / 美国 / 动作 运动 真人秀 / 道恩·强森 罗曼·雷恩斯,"{'count': 222, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36790584
美丽的伤疤,2024,2024 / 法国 / 动画 短片 / 拉斐尔·若佐 / 芬妮·西德尼 康坦·多尔迈尔,"{'count': 592, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36877082
没有她们的星球,2024,2024 / 德国 伊朗 / 纪录片 / 法拉赫娜兹·谢里菲 / 法拉赫娜兹·谢里菲,"{'count': 471, 'max': 10, 'star_count': 4.5, 'value': 8.8}",36741544
南洋大宝荐×话饼：菲律宾篇,2024,2024 / 中国大陆 / 纪录片 / 张竣 / 张竣,"{'count': 3457, 'max': 10, 'star_count': 4.5, 'value': 8.7}",37030136
