douban_id,title,rating,director_description,tags,years,country,cover_image
36787730,万物生灵：2024圣诞特别集,9.5,安迪·海伊,剧情,2024,英国,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2917203000.jpg
36832842,坂本龙一：最后的日子‎,9.5,NHK,纪录片,2024,日本,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2906829247.jpg
36888563,皇后乐队蒙特利尔现场演唱会,9.4,索尔·斯威默,纪录片|音乐,2024,英国 美国,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2914697220.jpg
36742797,中东大宝荐2：迦南孤儿,9.3,张竣,纪录片|真人秀,2024,中国大陆,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2913454508.jpg
36713577,ANOTHER SIDE …… JOEY · MY SECRET · LIVE,9.3,彭秀慧,纪录片|音乐|真人秀,2024,中国香港,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2902773876.jpg
36675987,黑箱日记,9.2,伊藤诗织,纪录片,2024,美国 英国 日本,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2906032559.jpg
37014543,进击的巨人 总集篇 最后的进击,9.2,林祐一郎,动作|动画|奇幻,2024,日本,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2912972913.jpg
36720554,流行乐最传奇一夜,9.2,阮包,纪录片|音乐,2024,美国,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2903112602.jpg
36886162,Lady Gaga：神彩巡回演唱会,9.2,Lady Gaga,音乐|真人秀,2024,美国,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2908265045.jpg
26656728,泳者之心,9.0,乔阿吉姆·罗恩尼,剧情|传记|运动,2024,美国,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2910815887.jpg
37113496,宇多田光SCIENCE FICTION 2024巡回演唱会,9.0,宇多田光,纪录片|音乐|歌舞,2024,日本,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2915513224.jpg
36778967,青春王室：幕后花絮,9.0,Jens von Reis,纪录片,2024,瑞典,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2905854332.jpg
36731273,最后生还者第二部制作特辑,9.0,Naughty Dog PlayStation,纪录片,2024,美国,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2904107099.jpg
36154853,好东西,8.9,邵艺辉,剧情|爱情,2024,中国大陆,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2915454411.jpg
37061366,奥利维亚·罗德里戈：GUTS 世界巡演全纪录,8.9,詹姆斯·B·梅里曼,纪录片|音乐,2024,美国,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2914687493.jpg
36782674,动机与提示,8.9,萨姆·门德斯,剧情|戏曲,2024,英国,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2907366755.jpg
37165729,拉里·迪恩：大聪明,8.9,Mason Stade,喜剧,2024,英国,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2916896175.jpg
